643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_1662_1  586_179_0  2.1153  0.0212  2  2.1153  0.0212  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_1692_2  586_179_0  2.1101  0.0055  2  2.1093  0.0041  3  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_1692_1  586_179_0  2.1077  0.0000  1  2.1093  0.0041  3  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2036_1  586_179_0  2.0942  0.0000  1  2.0875  0.0094  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2036_2  586_179_0  2.0809  0.0000  1  2.0875  0.0094  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2250_3  586_179_0  2.0965  0.0000  1  2.0952  0.0076  6  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2250_2  586_179_0  2.0909  0.0051  3  2.0952  0.0076  6  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2250_4  586_179_0  2.1086  0.0000  1  2.0952  0.0076  6  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2250_1  586_179_0  2.0937  0.0000  1  2.0952  0.0076  6  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-3_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_2036_3  586_179_0  2.0954  0.0100  2  2.0954  0.0100  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5,6a]-3_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_2516_1  586_179_0  2.0887  0.0000  1  2.0887  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[5a,6a]-2_2_2:I-2  C[6a]-2_2_0  451_3647_1  586_180_0  2.0870  0.0000  1  2.0870  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[5a,6a]-2_2_2:I-2  C[6a]-2_2_0  451_3865_1  586_180_0  2.0946  0.0101  2  2.0946  0.0101  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_3394_1  586_181_0  2.1068  0.0111  2  2.1068  0.0111  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_3519_1  586_181_0  2.0964  0.0000  1  2.0964  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_4053_1  586_181_0  2.0791  0.0000  1  2.0791  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_4079_1  586_181_0  2.0883  0.0034  8  2.0852  0.0098  12  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_4079_2  586_181_0  2.0716  0.0074  3  2.0852  0.0098  12  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_4079_3  586_181_0  2.1004  0.0000  1  2.0852  0.0098  12  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_3617_1  586_181_0  2.1065  0.0000  1  2.1065  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_3803_1  586_181_0  2.0885  0.0000  1  2.0885  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_3807_1  586_181_0  2.0916  0.0000  1  2.0916  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_4112_1  586_181_0  2.0857  0.0040  2  2.0857  0.0040  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[5a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_4146_1  586_181_0  2.0835  0.0000  1  2.0835  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_5164_1  586_183_0  2.1112  0.0020  2  2.1112  0.0020  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_5330_1  586_183_0  2.1112  0.0000  1  2.1112  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_5744_1  586_183_0  2.1059  0.0065  5  2.1053  0.0065  15  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_5744_2  586_183_0  2.1050  0.0068  10  2.1053  0.0065  15  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_6033_1  586_183_0  2.1160  0.0000  1  2.1084  0.0058  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_6033_2  586_183_0  2.1034  0.0000  1  2.1084  0.0058  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_6033_3  586_183_0  2.1071  0.0039  2  2.1084  0.0058  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_5420_1  586_183_0  2.1089  0.0000  1  2.1089  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-3_2_2:C[6a,6a]-2_2_2:I-2  C[6a]-2_2_0  451_8166_1  586_185_0  2.1181  0.0000  1  2.1181  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-3_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_5744_3  586_183_0  2.1104  0.0000  1  2.1104  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6,6a]-3_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_5805_1  586_183_0  2.0943  0.0000  1  2.0943  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_7175_1  586_186_0  2.0967  0.0015  2  2.0967  0.0015  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_7486_1  586_186_0  2.0405  0.0000  1  2.0990  0.0339  5  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_7486_2  586_186_0  2.1075  0.0003  2  2.0990  0.0339  5  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_7486_3  586_186_0  2.1290  0.0000  1  2.0990  0.0339  5  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_7486_4  586_186_0  2.1107  0.0000  1  2.0990  0.0339  5  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_7887_1  586_186_0  2.0988  0.0085  2  2.0988  0.0085  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8380_1  586_186_0  2.0958  0.0000  1  2.0958  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8495_1  586_186_0  2.0752  0.0000  1  2.0752  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8696_1  586_186_0  2.0901  0.0041  2  2.0901  0.0041  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_1  586_186_0  2.1145  0.0000  2  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_2  586_186_0  2.1012  0.0000  1  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_3  586_186_0  2.1235  0.0129  2  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_4  586_186_0  2.1096  0.0000  1  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_5  586_186_0  2.1018  0.0069  2  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_6  586_186_0  2.1028  0.0062  4  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_8819_7  586_186_0  2.1024  0.0070  5  2.1067  0.0095  17  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_9232_1  586_186_0  2.0789  0.0049  2  2.0789  0.0049  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_9700_1  586_186_0  2.1012  0.0000  1  2.1012  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_9863_1  586_186_0  2.0926  0.0000  1  2.0887  0.0100  3  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_9863_2  586_186_0  2.0963  0.0000  1  2.0887  0.0100  3  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_9863_3  586_186_0  2.0773  0.0000  1  2.0887  0.0100  3  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_8294_1  586_186_0  2.1152  0.0000  1  2.1152  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_8330_1  586_186_0  2.1085  0.0000  1  2.1010  0.0068  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_8330_2  586_186_0  2.0985  0.0057  3  2.1010  0.0068  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_8444_1  586_186_0  2.1132  0.0000  1  2.1132  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_8574_1  586_186_0  2.1066  0.0033  3  2.1097  0.0067  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_8574_2  586_186_0  2.1189  0.0000  1  2.1097  0.0067  4  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a,6a]-2_2_2:C[6a]-2_2_2:I-2  C[6a]-2_2_0  451_9041_1  586_186_0  2.0939  0.0000  1  2.0939  0.0000  1  
