MetalElem   OtherElem   Bonds_mean      Bonds_stdev     NumSamples
Dy          N           2.52531823      0.08271974          1770  
Dy          O           2.38878588      0.12074601         10517  
Dy          P           2.93619294      0.14045311            17  
Dy          S           2.81883460      0.17604202            87  
Dy          Se          2.86811386      0.05205765            44  
Er          B           2.65608105      0.03573095            19  
Er          C           2.63347438      0.19711919           329  
Er          Cl          2.71515872      0.19098548            94  
Er          F           2.23711349      0.04269150            43  
Er          I           3.04635750      0.03795102             4  
Er          N           2.46772516      0.11039074           814  
Er          O           2.36061262      0.11491495          4073  
Er          S           2.79518257      0.15743171           113  
Er          Se          2.85124000      0.06703786            31  
Eu          B           3.22962000      0.02269985             3  
Eu          Br          3.11710385      0.39748130            13  
Eu          C           2.88592405      0.21034212            74  
Eu          Cl          2.74885163      0.15572401            92  
Eu          F           2.53892500      0.17644649            36  
Eu          I           3.53581806      0.18682955            31  
Eu          N           2.59883312      0.10223769          1234  
Eu          O           2.44517874      0.11936963          8111  
Eu          P           3.61515600      0.13473874             5  
Eu          S           3.05106916      0.15675388            95  
Eu          Se          3.23692027      0.13957102            37  
Fe          B           2.16952721      0.11868653           526  
Fe          Br          2.42109406      0.10716729           448  
Fe          C           2.02265617      0.08972035         52963  
Fe          Cl          2.29138109      0.10835535          1764  
Fe          F           1.96053962      0.09082109           157  
Fe          I           2.63392248      0.05838904           117  
Fe          N           2.06301027      0.13612399         12441  
Fe          O           2.03225007      0.10800626          7345  
Fe          P           2.27264091      0.11914826          2002  
Fe          S           2.27575797      0.06827666          3575  
Fe          Se          2.39527398      0.08252834           349  
Gd          B           2.87204583      0.36301495            12  
Gd          Br          2.91050240      0.09629663            25  
Gd          C           2.69991873      0.19570232           150  
Gd          Cl          2.98741591      0.30575417           115  
Gd          F           2.32755154      0.07746071            13  
Gd          I           3.01403714      0.02382377             7  
Gd          N           2.56846439      0.09415322          1051  
Gd          O           2.42646411      0.11994015          8875  
Gd          P           2.90847556      0.01832032             9  
Gd          S           2.87818164      0.14547620            67  
Gd          Se          3.01093933      0.21035421            45  
Hf          B           2.51246316      0.05027746            19  
Hf          Br          2.72152250      0.09136485             4  
Hf          C           2.41508000      0.17604807           754  
Hf          Cl          2.43892230      0.06562113           178  
Hf          F           2.04335706      0.10530072            68  
Hf          I           2.83652385      0.09126160            13  
Hf          N           2.19405541      0.13407187           663  
Hf          O           2.14251204      0.12885827           819  
Hf          P           2.76749674      0.13562945            86  
Hf          S           2.63059231      0.12801058            52  
Hf          Se          2.69833655      0.08430928            29  
Hg          B           2.18378250      0.04972182             4  
Hg          Br          2.80738430      0.45078716           602  
Hg          C           2.07946075      0.05234947           601  
Hg          Cl          2.76765154      0.44363535          1429  
Hg          F           3.12569749      0.10954570           387  
Hg          I           2.97362188      0.46284275           676  
Hg          N           2.49196102      0.24830168          1330  
Hg          O           2.69934339      0.31345929           893  
Hg          P           2.44824544      0.08920712            79  
Hg          S           2.76587738      0.43364051           908  
Hg          Se          2.86414739      0.45262152           161  
Ho          B           2.64715333      0.06105009             3  
Ho          Br          2.82811500      0.01827871             2  
Ho          C           2.71655233      0.31874555            43  
Ho          Cl          2.71056167      0.22879172            18  
Ho          F           2.25818349      0.06498043            43  
Ho          I           3.14019833      0.10293728             6  
Ho          N           2.51285025      0.07930624           395  
Ho          O           2.38387036      0.13015627          2775  
Ho          P           3.01777250      0.29438087             4  
Ho          S           2.79210897      0.21260889            58  
Ho          Se          2.84058238      0.05349340            42  
Ir          B           2.17389692      0.10417248           195  
Ir          Br          2.56657623      0.20012765            53  
Ir          C           2.12279896      0.11121408         11695  
Ir          Cl          2.40599860      0.04821222          1154  
Ir          F           1.99644923      0.11118675            39  
Ir          I           2.71763911      0.09511252           123  
Ir          N           2.08746008      0.06181452          4154  
Ir          O           2.11546883      0.07784069          1010  
Ir          P           2.31454098      0.08676485          1198  
Ir          S           2.35200552      0.08106472           594  
Ir          Se          2.47637914      0.08993212            81  
